지점,지점명,위도,경도,노장해발고도(m)
448,산북,37.4019,127.443,117.27
449,옥천,37.51,127.4481,32
449,옥천,37.5073,127.4522,44
450,주교,37.5983,126.849,45.34
450,주교,37.6555,126.8334,50
451,오남,37.6985,127.2048,87.99
451,오남,37.6107,127.153,34
451,오남,37.6107,127.153,34
451,오남,37.6107,127.153,34
453,소하,37.4421,126.8964,15.28
454,하봉암,37.9743,127.0669,70.71
454,하봉암,37.9713,127.0696,91
456,연천,38.0963,127.0756,73.31
456,연천,38.0936,127.0778,82
457,춘궁,37.522,127.1941,55.27
458,퇴촌,37.4747,127.3058,44.59
458,퇴촌,37.4747,127.3058,48
459,오포,37.3455,127.1968,87.77
460,실촌,37.3689,127.4054,87.77
461,마장,37.249,127.358,109.89
461,마장,37.2461,127.3601,88
462,모가,37.1717,127.4802,91.21
462,모가,37.1691,127.4823,84
463,흥천,37.1951,127.3255,48.31
463,흥천,37.3327,127.5415,50.65
464,점동,37.1214,127.3939,68.36
464,점동,37.2061,127.6627,73.38
465,가남,37.1212,127.3254,62.7
465,가남,37.2017,127.5451,78.02
465,가남,37.2017,127.5451,85
466,금사,37.2323,127.3203,31.11
466,금사,37.3926,127.5333,58.55
467,양성,37.0941,127.2158,45.78
468,서운,36.9431,127.2593,53.8
469,일죽,37.1407,127.4338,100.47
470,고삼,37.0806,127.2696,41
470,고삼,37.0806,127.2696,41
471,송탄,37.0664,127.0649,63.05
472,포승,36.9845,126.8548,18.99
473,가산,37.8486,127.1864,134.7
473,가산,37.8486,127.1861,130
474,영북,38.0891,127.2755,142.87
475,관인,38.1577,127.2512,185.81
476,화현,37.9013,127.2883,151.72
476,화현,37.9013,127.2904,151.84
477,상패,37.9056,127.0441,71.43
477,상패,37.9055,127.044,80
478,왕징,38.0586,127.0128,37.3
479,장남,37.9818,126.8843,33.36
480,미산,38.0474,126.9929,42.35
480,미산,38.0447,126.9949,35
481,탄현,37.8025,126.7162,20.91
482,광탄,37.776,126.8513,42.86
482,광탄,37.7763,126.8512,53
483,진동,37.9253,126.7891,18.08
483,진동,37.926,126.7871,35
484,창현,37.6466,127.3165,122.04
484,창현,37.6466,127.3165,122
485,신천,37.6762,127.4948,75.61
486,외서,37.7347,127.4145,49.88
487,대곶,37.6453,126.5523,13
488,송산,37.2182,126.73,49.15
489,서신,37.1666,126.7088,25.46
489,서신,37.1638,126.7109,25
492,학온동,37.4155,126.8514,54.08
493,송악,36.7362,127.0081,35
493,송악,36.7227,127.004,53.64
493,송악,36.7227,127.004,53.64
493,송악,36.7227,127.004,54
494,세종고운,36.5308,127.2403,106.02
494,세종고운,36.5315,127.2406,107.8
494,세종고운,36.5315,127.2406,107.8
495,공도,36.9806,127.1625,13
495,공도,36.9806,127.1625,13
